BIN_INDEX, BIN_FROM, BIN_TO, INTERPOLATION, INTERVAL_TYPE
308,  30.700, 30.800, 30.750, 1202
309,  30.800, 30.900, 30.850, 1202
310,  30.900, 31.000, 30.950, 1202
311,  31.000, 31.100, 31.050, 1202
312,  31.100, 31.200, 31.150, 1202
313,  31.200, 31.300, 31.250, 1202
314,  31.300, 31.400, 31.350, 1202
315,  31.400, 31.500, 31.450, 1202
316,  31.500, 31.600, 31.550, 1202
317,  31.600, 31.700, 31.650, 1202
318,  31.700, 31.800, 31.750, 1202
319,  31.800, 31.900, 31.850, 1202
320,  31.900, 32.000, 31.950, 1202
321,  32.000, 32.100, 32.050, 1202
322,  32.100, 32.200, 32.150, 1202
323,  32.200, 32.300, 32.250, 1202
324,  32.300, 32.400, 32.350, 1202
325,  32.400, 32.500, 32.450, 1202
326,  32.500, 32.600, 32.550, 1202
327,  32.600, 32.700, 32.650, 1202
328,  32.700, 32.800, 32.750, 1202
329,  32.800, 32.900, 32.850, 1202
330,  32.900, 33.000, 32.950, 1202
331,  33.000, 33.100, 33.050, 1202
332,  33.100, 33.200, 33.150, 1202
333,  33.200, 33.300, 33.250, 1202
334,  33.300, 33.400, 33.350, 1202
335,  33.400, 33.500, 33.450, 1202
336,  33.500, 33.600, 33.550, 1202
337,  33.600, 33.700, 33.650, 1202
338,  33.700, 33.800, 33.750, 1202
339,  33.800, 33.900, 33.850, 1202
340,  33.900, 34.000, 33.950, 1202
341,  34.000, 34.100, 34.050, 1202
342,  34.100, 34.200, 34.150, 1202
343,  34.200, 34.300, 34.250, 1202
344,  34.300, 34.400, 34.350, 1202
345,  34.400, 34.500, 34.450, 1202
346,  34.500, 34.600, 34.550, 1202
347,  34.600, 34.700, 34.650, 1202
348,  34.700, 34.800, 34.750, 1202
349,  34.800, 34.900, 34.850, 1202
350,  34.900, 35.000, 34.950, 1202
351,  35.000, 35.100, 35.050, 1202
352,  35.100, 35.200, 35.150, 1202
353,  35.200, 35.300, 35.250, 1202
354,  35.300, 35.400, 35.350, 1202
355,  35.400, 35.500, 35.450, 1202
356,  35.500, 35.600, 35.550, 1202
357,  35.600, 35.700, 35.650, 1202
358,  35.700, 35.800, 35.750, 1202
359,  35.800, 35.900, 35.850, 1202
360,  35.900, 36.000, 35.950, 1202
361,  36.000, 36.100, 36.050, 1202
362,  36.100, 36.200, 36.150, 1202
363,  36.200, 36.300, 36.250, 1202
364,  36.300, 36.400, 36.350, 1202
365,  36.400, 36.500, 36.450, 1202
366,  36.500, 36.600, 36.550, 1202
367,  36.600, 36.700, 36.650, 1202
368,  36.700, 36.800, 36.750, 1202
369,  36.800, 36.900, 36.850, 1202
370,  36.900, 37.000, 36.950, 1202
371,  37.000, 37.100, 37.050, 1202
372,  37.100, 37.200, 37.150, 1202
373,  37.200, 37.300, 37.250, 1202
374,  37.300, 37.400, 37.350, 1202
375,  37.400, 37.500, 37.450, 1202
376,  37.500, 37.600, 37.550, 1202
377,  37.600, 37.700, 37.650, 1202
378,  37.700, 37.800, 37.750, 1202
379,  37.800, 37.900, 37.850, 1202
380,  37.900, 38.000, 37.950, 1202
381,  38.000, 38.100, 38.050, 1202
382,  38.100, 38.200, 38.150, 1202
383,  38.200, 38.300, 38.250, 1202
384,  38.300, 38.400, 38.350, 1202
385,  38.400, 38.500, 38.450, 1202
386,  38.500, 38.600, 38.550, 1202
387,  38.600, 38.700, 38.650, 1202
388,  38.700, 38.800, 38.750, 1202
389,  38.800, 38.900, 38.850, 1202
390,  38.900, 39.000, 38.950, 1202
391,  39.000, 39.100, 39.050, 1202
392,  39.100, 39.200, 39.150, 1202
393,  39.200, 39.300, 39.250, 1202
394,  39.300, 39.400, 39.350, 1202
395,  39.400, 39.500, 39.450, 1202
396,  39.500, 39.600, 39.550, 1202
397,  39.600, 39.700, 39.650, 1202
398,  39.700, 39.800, 39.750, 1202
399,  39.800, 39.900, 39.850, 1202
400,  39.900, 40.000, 39.950, 1202
401,  40.000, 40.100, 40.050, 1202
402,  40.100, 40.200, 40.150, 1202
403,  40.200, 40.300, 40.250, 1202
404,  40.300, 40.400, 40.350, 1202
405,  40.400, 40.500, 40.450, 1202
406,  40.500, 40.600, 40.550, 1202
407,  40.600, 40.700, 40.650, 1202
408,  40.700, 40.800, 40.750, 1202
409,  40.800, 40.900, 40.850, 1202
410,  40.900, 41.000, 40.950, 1202
411,  41.000, 41.100, 41.050, 1202
412,  41.100, 41.200, 41.150, 1202
413,  41.200, 41.300, 41.250, 1202
414,  41.300, 41.400, 41.350, 1202
415,  41.400, 41.500, 41.450, 1202
416,  41.500, 41.600, 41.550, 1202
417,  41.600, 41.700, 41.650, 1202
418,  41.700, 41.800, 41.750, 1202
419,  41.800, 41.900, 41.850, 1202
420,  41.900, 42.000, 41.950, 1202
421,  42.000, 42.100, 42.050, 1202
422,  42.100, 42.200, 42.150, 1202
423,  42.200, 42.300, 42.250, 1202
424,  42.300, 42.400, 42.350, 1202
425,  42.400, 42.500, 42.450, 1202
426,  42.500, 42.600, 42.550, 1202
427,  42.600, 42.700, 42.650, 1202
428,  42.700, 42.800, 42.750, 1202
429,  42.800, 42.900, 42.850, 1202
430,  42.900, 43.000, 42.950, 1202
431,  43.000, 43.100, 43.050, 1202
