event_id,period_no,occ_date_id
11481,111,1241411
11486,111,2142214
11493,111,3090334
11516,111,5170833
11545,111,9180708
11556,111,11150730
11576,112,1041650
11594,112,3221829
11595,112,3272055
11600,112,4151129
11607,112,5162205
11682,113,1260451
11716,113,5281033
11718,113,6121010
11750,113,11130501
11758,113,12102025
11760,113,12280407
11770,114,1160719
11788,114,3211805
11810,114,6152344
11812,114,6171333
11819,114,6300933
11822,114,7071504
11823,114,7101212
11828,114,7270034
11829,114,7301337
11831,114,8050825
11837,114,9060547
11846,114,9242117
11853,114,11051314
11855,114,11140405
11866,114,12251923
11869,115,1010521
11872,115,1150159
11892,115,4100327
11905,115,5241645
11907,115,6031356
11912,115,6192205
11917,115,6302025
11918,115,7041156
11920,115,7080016
11931,115,7301320
11935,115,8051932
11941,115,8211047
11946,115,9110347
11953,115,10121327
11957,115,10172200
11962,115,10261538
11967,115,11020422
11985,116,1060718
11988,116,1301832
12008,116,5050508
12015,116,6072159
12039,116,8222314
12062,116,11141550
12072,117,1110728
12084,117,3070644
12088,117,4020351
12092,117,4070605
12102,117,5051842
12104,117,5211832
12108,117,6071053
12111,117,6210530
12119,117,7212312
12127,117,8310340
12142,117,10112158
12152,117,11172307
12163,117,12190713
12178,118,2101418
12206,118,5140313
12213,118,6051751
12214,118,6051815
12220,118,6190103
12221,118,6211939
12222,118,6250320
12227,118,7161614
12239,118,8162328
12245,118,9231345
12258,118,11131917
12288,119,2172142
12289,119,2192303
12311,119,5211520
12323,119,6272319
12325,119,6290157
12334,119,8081531
12338,119,9030213
12358,119,12040156
12363,119,12251438
12383,120,3050136
12462,120,11040434
12511,121,4200126
12530,121,6241227
12542,121,7171101
12547,121,8152257
12554,121,9010515
12559,121,9220351
12580,121,12152110
12607,122,3152057
12616,122,4260552
12622,122,5231811
12629,122,7030635
12658,122,11050605
12689,123,1291613
12692,123,2011709
12711,123,4182354
12720,123,5130950
12729,123,6130745
12754,123,9030620
12775,123,11151254
12779,123,11190211
12790,123,12221108
12793,123,12240952
12803,124,1231815
12811,124,3110058
12816,124,3180922
12825,124,5300225
12828,124,6120938
12830,124,6201541
12837,124,7251303
12842,124,8061625
12854,124,9260407
12866,124,10232111
12867,124,10310848
12869,124,11032107
12873,124,11241058
12897,125,2141710
12924,125,5270614
12925,125,6031134
12939,125,7290111
12944,125,8240737
12947,125,9020226
12959,125,10201450
12964,125,11091939
12978,126,1090638
12990,126,2131843
12995,126,2201514
12999,126,3032340
13011,126,5070957
13017,126,5231208
13020,126,6071602
13025,126,6290003
13027,126,7061017
13041,126,9011839
13043,126,9020206
13060,126,10122107
13096,127,2101615
13097,127,2131247
13132,127,6100856
13160,127,9271129
13166,127,10061539
13196,128,1011315
13207,128,1300044
13231,128,5090330
13237,128,5272304
13260,128,7170610
13267,128,8281328
13277,128,10141442
13328,129,3261415
13336,129,4200509
13348,129,6030255
13361,129,7211206
13378,129,9142306
13399,129,10300100
13432,130,2080022
13446,130,3220731
13463,130,5082258
13473,130,5301303
13489,130,8131159
13495,130,8240550
13515,130,11130132
13525,131,1051143
13557,131,4171346
13563,131,5100110
13583,131,7171341
13595,131,8170252
13622,131,11141647
13634,131,12222343
13647,132,2040135
13655,132,2260116
13673,132,4171709
13674,132,4220058
13754,133,3291858
13766,133,5140104
13793,133,8280512
13797,133,9040307
13819,133,11272213
13828,133,12200037
13832,133,12261043
13856,134,2161901
13861,134,2262124
13869,134,4190051
13878,134,5152149
13899,134,7101031
13906,134,7270302
13907,134,7302217
13920,134,9070255
13930,134,10200402
13958,134,12271604
13980,135,4151103
14015,135,8111854
14017,135,8172154
14059,136,1161634
14077,136,4111037
14082,136,5010449
14094,136,5290815
14116,136,8232242
14118,136,8292036
14134,136,11090220
14143,136,11261723
14173,137,3141803
14177,137,4051823
14181,137,4110652
14190,137,5052210
14205,137,6072130
14282,138,3091934
14318,138,8061840
14342,138,10061643
14350,138,11051306
14360,138,11271342
14386,139,2181651
14402,139,5021825
14407,139,5251000
14429,139,7270711
14453,139,11040747
14457,139,11260137
14460,139,11302107
14467,139,12191717
14470,139,12250938
14488,140,2160654
14509,140,4261220
14520,140,5241247
14535,140,7190242
14560,140,11031621
14564,140,11121053
14575,140,12181057
14588,141,1301446
14598,141,3070503
14606,141,4120034
14627,141,6120417
14635,141,7290642
14652,141,10061821
14681,142,1250344
14688,142,3020221
14695,142,3242317
14702,142,4272222
14723,142,6230350
14751,142,10080643
14757,142,10310844
14791,143,3181820
14807,143,6011153
14836,143,8300618
14845,143,9230222
14847,143,10061814
14849,143,10181559
14864,143,11282155
14877,144,1231959
14947,144,9090946
14949,144,9201654
14966,144,10311055
14996,145,3310941
15046,145,10220436
15070,146,2050049
15074,146,2201856
15127,146,9192019
15129,146,9211710
15132,146,9301301
15138,146,10160848
15147,146,11111032
15149,146,11160624
15156,146,12082038
15168,147,1121953
15202,147,4271824
15242,147,9072127
15254,147,11081322
15285,148,2250349
15320,148,6191435
15350,148,11150649
15357,148,12180607
15387,149,3291759
15402,149,5192137
15416,149,7290159
15417,149,8060921
15429,149,9191258
15451,149,11271555
15542,150,9271454
15554,150,10310829
15583,151,3170659
15596,151,5041746
15612,151,7050621
15614,151,7091617
15617,151,7251022
